scenario,seed,sensor,alpha,target_expert,drift_reliability,drift_modulation_factor,coord_threshold_v75,coord_threshold_v73,single_action,reliability_spike,reliability_drift,reliability_flat,reliability_dropout,coef_v75_spike,coef_v75_drift,coef_v75_flat,coef_v75_dropout
low,42,sensor_502_multivar_labeled,0.6,drift,0.199837925445705,0.679935170178282,0.85,0.875,z_w21_t3,0.813904219429002,0.199837925445705,0.4463217667276059,0.5569663585101663,1.7275601268969476,1.7849913392431698,-1.3841022390201,1.7245362296442417
low,42,sensor_505_multivar_labeled,0.6,drift,0.199393479909022,0.6797573919636088,0.95,0.95,z_w21_t3,0.8136623305879674,0.199393479909022,0.4241314669191203,0.1758908263836239,2.8347285855657223,0.0140616914289806,-0.7632095052199123,2.4414868498990963
low,42,sensor_506_multivar_labeled,0.6,drift,0.3160129231938966,0.7264051692775586,0.775,0.775,flat_std_w18,0.6494747675761868,0.3160129231938966,0.5318270566260705,0.1984812778214192,3.0180492235732235,0.6775878622133833,1.875297773535676,0.3644645476965873
low,42,sensor_507_multivar_labeled,0.6,drift,0.1843609022556391,0.6737443609022556,0.875,0.875,hampel_w31_k2.5,0.6443980839304193,0.1843609022556391,0.4262174444235997,0.1954233409610984,3.1425340379656777,-1.540256318832723,3.84639808418232,-4.986131593758691
low,42,sensor_508_multivar_labeled,0.6,drift,0.2960252935862692,0.7184101174345077,0.4999999999999999,0.4999999999999999,flat_std_w18,0.8139034459332043,0.2960252935862692,0.1851508120649652,0.454454415089935,2.167811075630236,2.5043816171153,1.4655323717967406,0.7658507788316822
low,42,sensor_509_multivar_labeled,0.6,drift,0.1901658491006774,0.676066339640271,0.825,0.825,flat_std_w18,0.9233300727827788,0.1901658491006774,0.6758916971520553,0.663421383419131,2.894628231121985,0.7876038649308688,2.348920638989504,-0.1433884665042964
low,42,sensor_510_multivar_labeled,0.6,drift,0.3958779782419681,0.7583511912967873,0.7,0.7,flat_std_w18,0.7234318643092966,0.3958779782419681,0.1905125756128621,0.6056295466247733,2.276104962695789,0.8789430165999472,0.8379453449877093,1.4412591506247514
low,42,sensor_511_multivar_labeled,0.6,drift,0.3952512339434072,0.7581004935773629,0.9,0.9,z_w21_t3,1.0,0.3952512339434072,0.1941611234294161,0.1948263118994826,2.4799884047454523,1.0666117102906367,-3.362479098252654,4.464549092020212
low,777,sensor_501_multivar_labeled,0.6,drift,0.3865112789539385,0.7546045115815754,0.875,0.875,hampel_w31_k2.5,0.7140475251756195,0.3865112789539385,0.1834909716251075,0.1871023215821152,3.795596072573349,-0.7366035048942363,2.988940834094316,-3.5110975820357826
low,777,sensor_502_multivar_labeled,0.6,drift,0.1733230531996916,0.6693292212798766,0.625,0.625,dropout_w12,0.2,0.1733230531996916,0.1782575173477255,0.1824209714726291,2.0581061780476526,1.3244158599226177,-1.4753257625141143,3.008586570318564
low,777,sensor_505_multivar_labeled,0.6,drift,0.1987371744277821,0.6794948697711128,0.875,0.875,z_w21_t3,0.7705901567944251,0.1987371744277821,0.1964423820572312,0.4034321145057888,2.216736618232805,0.5270356568372463,-3.8088694239318857,-2.9745145989964192
low,777,sensor_506_multivar_labeled,0.6,drift,0.1732874900819889,0.6693149960327955,0.85,0.85,flat_std_w18,0.6401605655631559,0.1732874900819889,0.1954962031945535,0.1984812778214192,1.6202177025294036,1.192095645114842,2.691234108599572,-1.3166881997031763
low,777,sensor_507_multivar_labeled,0.6,drift,0.1842105263157895,0.6736842105263158,0.9,0.875,hampel_w31_k2.5,0.6443980839304193,0.1842105263157895,0.1970266040688576,0.1888721804511278,3.7284844716201113,0.3854937204942368,-6.394733857076544,4.695208329287662
low,777,sensor_508_multivar_labeled,0.6,drift,0.3818877363348782,0.7527550945339513,0.825,0.925,dropout_w12,0.4564422713465704,0.3818877363348782,0.165815931941222,0.4587579050975999,1.6314096440788612,2.6684271836865587,-2.737150039916972,4.346157827905141
low,777,sensor_509_multivar_labeled,0.6,drift,0.1999756690997567,0.6799902676399027,0.95,0.95,flat_std_w18,0.9020683079313792,0.1999756690997567,0.195211399205793,0.1925718290119131,2.778669903499596,1.1928029905769983,2.76225095699206,0.9317354531049972
low,777,sensor_510_multivar_labeled,0.6,drift,0.1946021840873635,0.6778408736349454,0.925,0.925,flat_std_w18,0.8565255864185178,0.1946021840873635,0.1924227952881248,0.1895475819032761,2.744915813221984,2.029620773366445,-0.3409117397503429,3.054740020274069
low,777,sensor_511_multivar_labeled,0.6,drift,0.197930524759793,0.6791722099039172,0.7,0.7,flat_std_w36,0.7785085164385834,0.197930524759793,0.175240206947524,0.1933481152993348,2.111977869670388,-0.7105154211602848,4.185705405729284,-0.8917343372348057
low,999,sensor_501_multivar_labeled,0.6,drift,0.1994840928632846,0.6797936371453138,0.95,0.95,ewma_s48_w96_t2.2,0.5935652853069024,0.1994840928632846,0.1690455717970765,0.175408426483233,1.3142245977072773,4.537148190243813,0.7853760435565237,0.6271056309644446
low,999,sensor_502_multivar_labeled,0.6,drift,0.2,0.6799999999999999,0.925,0.925,dropout_w12,0.7139628562964411,0.2,0.1791827293754818,0.1959907478797224,1.9467958692254612,1.9820033237421468,-2.248721033026954,3.754098439559487
low,999,sensor_505_multivar_labeled,0.6,drift,0.1824109173616376,0.672964366944655,0.825,0.825,hampel_w21_k3,1.0,0.1824109173616376,0.1787717968157695,0.1933282789992418,1.9905799261625297,-0.1312643083348749,3.6382471824100073,-4.819648859850632
low,999,sensor_506_multivar_labeled,0.6,drift,0.4152273007729122,0.7660909203091649,0.825,0.825,flat_std_w18,0.7295528417527548,0.4152273007729122,0.6570865741368792,0.7783261158748909,3.6336173026872847,0.7319504013384038,2.4525930027584195,-0.048751303977616
low,999,sensor_507_multivar_labeled,0.6,drift,0.4356350155467122,0.7742540062186849,0.95,0.95,low_range_w24,0.6791698113207547,0.4356350155467122,0.4168873738835424,0.4346692033353959,5.384614850645872,-1.7042393189521103,2.883054472422496,-1.124455946958997
low,999,sensor_508_multivar_labeled,0.6,drift,0.1992266047950502,0.6796906419180201,0.95,0.95,z_w21_t3,0.5995739736638266,0.1992266047950502,0.4412415903944257,0.174323279195669,3.461028061391026,3.613898639224431,2.17396485548539,-0.4024246442448846
low,999,sensor_509_multivar_labeled,0.6,drift,0.1910768512029899,0.676430740481196,0.875,0.875,flat_std_w18,0.935670851378632,0.1910768512029899,0.4031156441093182,0.193225881803317,2.4813882536279657,1.2500177610684629,3.765885745418554,-2.5249209493216704
low,999,sensor_510_multivar_labeled,0.6,drift,0.183588143525741,0.6734352574102964,0.875,0.875,flat_std_w18,0.9432820310403692,0.183588143525741,0.5978606898815404,0.6116377765244293,2.807462094653673,0.9197833474370032,3.556217056019422,-1.971780336398336
low,999,sensor_511_multivar_labeled,0.6,drift,0.3942101472891851,0.757684058915674,0.6,0.65,flat_std_w18,0.9270686456400742,0.3942101472891851,0.1908748114630467,0.1951219512195122,2.2989045486611284,0.5442798474252092,1.976597741426645,1.2721753387344272
medium,123,sensor_501_multivar_labeled,0.6,drift,0.1833190025795357,0.6733276010318142,0.525,0.5499999999999999,dropout_w12,0.8672639270565223,0.1833190025795357,0.5256660038975075,0.6000576687731289,1.812655810827956,0.1630867853028333,0.1089201721633464,1.2653637108683848
medium,123,sensor_502_multivar_labeled,0.6,drift,0.2,0.6799999999999999,0.825,0.825,z_w21_t3,0.8188860350362908,0.2,0.1887432536622976,0.5064735226376252,4.223188846028915,1.2617395503322335,3.470370936227974,-0.0778858164939426
medium,123,sensor_505_multivar_labeled,0.6,drift,0.4342722027214347,0.7737088810885739,0.575,0.575,flat_std_w18,0.838378379076367,0.4342722027214347,0.7025730561633906,0.6822213209061064,2.8763398128872217,0.3172882886368854,1.2991089509770473,0.9806275350677084
medium,123,sensor_506_multivar_labeled,0.6,drift,0.199528672427337,0.6798114689709348,0.25,0.25,z_w21_t3,0.8667175736145477,0.199528672427337,0.1990896159317212,0.1994239329667452,8.114927555548501,5.760933638463219,-1.3922388647959067,7.011413423142088
medium,123,sensor_507_multivar_labeled,0.6,drift,0.1714285714285714,0.6685714285714286,0.825,0.825,z_w21_t3,0.7702183733101833,0.1714285714285714,0.1918796992481203,0.6094511494341861,2.7962843644816804,0.2234396730976872,-4.570683813904204,4.2870648423836935
medium,123,sensor_508_multivar_labeled,0.6,drift,0.2,0.6799999999999999,0.7,0.7,z_w21_t3,0.7466940990658761,0.2,0.6375321055499157,0.5676827862749867,3.442931587405311,0.7486806963913782,0.6363479930049766,1.3869069684629882
