scenario,seed,sensor,ablation,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward
high,999,sensor_507_multivar_labeled,without_dropout,36,1638,1,322,0.8382573860791187,0.972972972972973,0.1005586592178771,0.1822784810126582,0.0006101281269066,0.8994413407821229,0.9993898718730934,0.5499742655454852,0.2843010791709647,0.2580778473543146
high,999,sensor_508_multivar_labeled,full,126,1333,0,482,0.7516743946419372,1.0,0.2072368421052631,0.3433242506811989,0.0,0.7927631578947368,1.0,0.6036184210526316,0.3901308041761329,0.3666669654381184
high,999,sensor_508_multivar_labeled,without_spike,124,1333,0,484,0.7506439979392066,1.0,0.2039473684210526,0.3387978142076502,0.0,0.7960526315789473,1.0,0.6019736842105263,0.3868090833750322,0.3636432269197583
high,999,sensor_508_multivar_labeled,without_drift,126,1333,0,482,0.7516743946419372,1.0,0.2072368421052631,0.3433242506811989,0.0,0.7927631578947368,1.0,0.6036184210526316,0.3901308041761329,0.3666669654381184
high,999,sensor_508_multivar_labeled,without_flat,20,1333,0,588,0.6970633693972179,1.0,0.0328947368421052,0.0636942675159235,0.0,0.9671052631578948,1.0,0.5164473684210527,0.1510826523288997,0.1885308414347971
high,999,sensor_508_multivar_labeled,without_dropout,9,1333,0,599,0.6913961875321999,1.0,0.0148026315789473,0.0291734197730956,0.0,0.9851973684210528,1.0,0.5074013157894737,0.1010603920636897,0.1675688283715772
high,999,sensor_509_multivar_labeled,full,1271,10588,494,492,0.9232386142467888,0.7201133144475921,0.7209302325581395,0.7205215419501134,0.0445767911929254,0.2790697674418604,0.9554232088070744,0.838176720682607,0.676031135046245,0.6440730816928393
high,999,sensor_509_multivar_labeled,without_spike,1252,10531,551,511,0.9173219151420786,0.6943982251802552,0.7101531480431084,0.7021873247335951,0.0497202670998014,0.2898468519568916,0.9502797329001984,0.8302164404716534,0.6542476654575308,0.6282179476101084
high,999,sensor_509_multivar_labeled,without_drift,1276,10744,338,487,0.9357726741922928,0.7905824039653035,0.7237663074305162,0.755700325732899,0.0304999097635805,0.2762336925694838,0.9695000902364194,0.8466331988334678,0.7197379472135458,0.672732408427397
high,999,sensor_509_multivar_labeled,without_flat,636,10812,270,1127,0.891241728298949,0.7019867549668874,0.3607487237663074,0.4765829898838516,0.0243638332430969,0.6392512762336926,0.9756361667569032,0.6681924452616053,0.4520886817266196,0.425548592498349
high,999,sensor_509_multivar_labeled,without_dropout,1281,10586,496,482,0.9238614246788632,0.7208778840742825,0.7266023823028928,0.7237288135593221,0.0447572640317632,0.2733976176971072,0.9552427359682368,0.8409225591355648,0.6795832645989531,0.6473146370005288
high,999,sensor_510_multivar_labeled,full,963,7594,684,375,0.8898710482529119,0.5846994535519126,0.7197309417040358,0.6452261306532663,0.082628654264315,0.2802690582959641,0.9173713457356848,0.8185511437198604,0.5852632021301747,0.585713093911536
high,999,sensor_510_multivar_labeled,without_spike,950,7512,766,388,0.8799916805324459,0.5536130536130536,0.7100149476831091,0.6221349050425671,0.0925344286059434,0.2899850523168908,0.9074655713940564,0.8087402595385829,0.5581383201287847,0.5667537067554516
